frame,ball_x,ball_y,key_event_x,key_event_y
0,,,,
1,,,,
2,535,168,,
3,534,184,,
4,534,201,,
5,534,220,,
6,534,243,,
7,,,,
8,698,265,,
9,766,272,,
10,811,277,,
11,862,285,,
12,895,291,,
13,925,295,,
14,947,302,,
15,967,307,,
16,982,313,,
17,1002,322,,
18,1014,328,,
19,1023,334,,
20,1031,342,,
21,1043,347,,
22,1048,354,,
23,1054,361,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,1054,677,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,611,399,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,1089,295,,
44,1084,295,,
45,1075,292,,
46,1069,292,,
47,1060,292,,
48,1054,291,,
49,1047,294,,
50,1036,295,,
51,1029,297,,
52,1020,300,,
53,1008,304,,
54,1459,214,,
55,988,313,,
56,975,322,,
57,963,329,,
58,949,337,,
59,933,349,,
60,918,360,,
61,902,374,,
62,883,391,,
63,866,407,,
64,846,425,,
65,826,446,,
66,1459,214,,
67,790,466,,
68,774,462,,
69,757,456,,
70,739,453,,
71,721,453,,
72,700,450,,
73,681,451,,
74,660,453,,
75,637,456,,
76,615,461,,
77,584,473,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,605,413,,
84,636,393,,
85,726,537,,
86,683,357,,
87,701,347,,
88,722,332,,
89,738,324,,
90,754,316,,
91,768,310,,
92,781,303,,
93,792,300,,
94,1282,211,,
95,811,294,,
96,822,291,,
97,827,291,,
98,835,289,,
99,841,288,,
100,849,288,,
101,853,291,,
102,859,291,,
103,866,294,,
104,870,291,,
105,877,298,,
106,882,301,,
107,,,,
108,887,308,,
109,,,,
110,,,,
111,888,309,,
112,,,,
113,880,300,,
114,874,295,,
115,868,293,,
116,868,291,,
117,859,288,,
118,855,286,,
119,852,286,,
120,843,285,,
121,835,285,,
122,834,285,,
123,823,288,,
124,814,290,,
125,812,290,,
126,801,297,,
127,797,300,,
128,788,305,,
129,775,313,,
130,772,319,,
131,762,327,,
132,746,341,,
133,741,348,,
134,730,360,,
135,717,378,,
136,,,,
137,692,411,,
138,678,432,,
139,663,456,,
140,1282,211,,
141,1462,211,,
142,616,539,,
143,,,,
144,,,,
145,1282,211,,
146,,,,
147,,,,
148,,,,
149,1283,212,,
150,,,,
151,,,,
152,,,,
153,1459,210,,
154,,,,
155,,,,
156,433,552,,
157,419,560,,
158,403,571,,
159,387,582,,
160,372,597,,
161,,,,
162,,,,
163,437,425,,
164,1459,214,,
165,482,323,,
166,501,285,,
167,519,249,,
168,534,220,,
169,546,194,,
170,561,172,,
171,572,154,,
172,583,136,,
173,594,123,,
174,604,111,,
175,612,102,,
176,620,94,,
177,629,89,,
178,635,83,,
179,,,,
180,,,,
181,,,,
182,660,75,,
183,665,77,,
184,670,77,,
185,676,81,,
186,681,84,,
187,685,87,,
188,688,91,,
189,691,96,,
190,695,103,,
191,698,107,,
192,703,114,,
193,706,120,,
194,709,127,,
195,712,135,,
196,714,141,,
197,717,151,,
198,720,159,,
199,721,166,,
200,724,174,,
201,726,184,,
202,730,193,,
203,733,204,,
204,733,213,,
205,736,223,,
206,738,231,,
207,738,241,,
208,741,252,,
209,742,262,,
210,745,273,,
211,747,283,,
212,748,295,,
213,749,304,,
214,751,314,,
215,754,324,,
216,755,335,,
217,,,,
218,,,,
219,756,327,,
220,754,319,,
221,756,310,,
222,757,303,,
223,870,278,,
224,758,287,,
225,757,283,,
226,757,277,,
227,757,274,,
228,757,270,,
229,757,265,,
230,757,262,,
231,757,259,,
232,757,256,,
233,757,256,,
234,757,253,,
235,759,254,,
236,761,253,,
237,761,252,,
238,,,,
239,760,255,,
240,760,256,,
241,759,258,,
242,760,259,,
243,760,262,,
244,763,264,,
245,763,267,,
246,763,271,,
247,763,276,,
248,765,279,,
249,,,,
250,763,276,,
251,760,274,,
252,760,270,,
253,759,266,,
254,757,266,,
255,754,262,,
256,751,262,,
257,751,261,,
258,748,261,,
